word,first,last
あ,3215,890
い,3240,9377
う,1817,10787
え,1143,709
お,3091,293
か,5676,1446
き,4125,3626
く,1669,6460
け,1640,796
こ,4042,636
さ,2410,401
し,6932,2540
す,1700,2871
せ,2645,267
そ,1800,246
た,2669,974
ち,2430,1427
つ,1563,3277
て,1859,531
と,2560,1624
な,1592,373
に,1133,335
ぬ,250,91
ね,657,367
の,756,473
は,3215,160
ひ,2424,199
ふ,2613,279
へ,782,8
ほ,1619,54
ま,1664,631
み,1513,1139
む,880,1213
め,984,762
も,1177,342
や,1069,482
ゆ,1077,147
よ,1400,111
ら,713,858
り,1284,3034
る,175,19100
れ,681,629
ろ,576,626
わ,834,356
を,1,1
ん,4,10667
